BygningAnvendelsesKode_Value,BygningOpfoerelsesaar_Value,BygningSamletBoligAreal_Value,BygningVarmeinstallation_Value,EnhedAntalVaerelser_Value
130,1960,150,1,6
130,1987,114,2,4
130,1927,100,2,4
140,1913,547,2,4
140,1913,547,2,4
140,1913,547,2,3
140,1913,547,2,3
140,1913,547,2,3
140,1938,472,1,2
140,1938,472,1,2
140,1938,472,1,2
140,1938,472,1,2
140,1938,472,1,2
130,1999,92,1,3
140,1916,256,3,5
140,1916,256,3,6
140,2001,1894,1,4
140,2001,1894,1,4
140,2001,1894,1,3
140,2001,1894,1,3
140,2001,1894,1,2
140,2001,1894,1,4
140,2001,1894,1,4
140,2001,1894,1,3
140,2001,1894,1,3
140,2001,1894,1,2
140,2001,1894,1,4
140,2001,1894,1,4
140,2001,1894,1,4
140,2001,1894,1,3
140,2001,1894,1,2
130,1982,139,2,5
130,2005,121,1,4
130,1977,183,1,4
190,1750,75,7,3
130,1940,110,2,5
130,1760,160,3,4
130,1760,160,3,2
130,1978,102,7,4
130,1976,124,1,3
140,1918,296,2,5
140,1918,296,2,5
130,1921,100,1,5
130,2000,131,1,5
140,1985,438,1,2
140,1985,438,1,2
140,1985,438,1,2
140,1985,438,1,2
140,1985,438,1,2
140,1985,438,1,2
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,2
140,1946,1160,1,2
140,1946,1160,1,2
140,1946,1160,1,2
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,3
140,1946,1160,1,3
130,1975,111,7,4
130,1977,102,2,4
140,1900,199,2,2
140,1900,199,2,2
130,2013,116,2,4
140,1958,852,1,3
140,1958,852,1,3
140,1958,852,1,3
140,1958,852,1,3
140,1958,852,1,3
140,1958,852,1,3
130,1987,299,7,2
130,1987,299,7,2
130,1981,116,1,3
130,1921,100,2,5
130,1736,125,2,4
130,1975,111,7,4
